"Date de début";"Date de fin";"Organisme";"code zas";"Zas";"code site";"nom site";"type d'implantation";"Polluant";"type d'influence";"discriminant";"Réglementaire";"type d'évaluation";"procédure de mesure";"type de valeur";"valeur";"valeur brute";"unité de mesure";"taux de saisie";"couverture temporelle";"couverture de données";"code qualité";"validité"
"2026/03/30 07:00:00";"2026/03/30 08:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01011";"Metz-Centre";"Urbaine";"PM2.5";"Fond";"3";"Oui";"mesures fixes";"Auto PM_Conf_app TEOM 1405-F";"moyenne horaire brute";"3.2";"3.2";"µg-m3";;;;"A";"1"
"2026/03/30 00:00:00";"2026/03/30 01:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NO";"Fond";"";"Oui";"mesures fixes";"Auto NO Conf meth CHIMILU";"moyenne horaire brute";"0.1";"0.075";"µg-m3";;;;"A";"1"
"2026/03/30 01:00:00";"2026/03/30 02:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NO";"Fond";"";"Oui";"mesures fixes";"Auto NO Conf meth CHIMILU";"moyenne horaire brute";"0";"0";"µg-m3";;;;"A";"1"
"2026/03/30 02:00:00";"2026/03/30 03:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NO";"Fond";"";"Oui";"mesures fixes";"Auto NO Conf meth CHIMILU";"moyenne horaire brute";"0";"0";"µg-m3";;;;"A";"1"
"2026/03/30 03:00:00";"2026/03/30 04:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NO";"Fond";"";"Oui";"mesures fixes";"Auto NO Conf meth CHIMILU";"moyenne horaire brute";"0.1";"0.075";"µg-m3";;;;"A";"1"
"2026/03/30 04:00:00";"2026/03/30 05:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NO";"Fond";"";"Oui";"mesures fixes";"Auto NO Conf meth CHIMILU";"moyenne horaire brute";"0";"0.025";"µg-m3";;;;"A";"1"
"2026/03/30 05:00:00";"2026/03/30 06:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NO";"Fond";"";"Oui";"mesures fixes";"Auto NO Conf meth CHIMILU";"moyenne horaire brute";"0.1";"0.1";"µg-m3";;;;"A";"1"
"2026/03/30 06:00:00";"2026/03/30 07:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NO";"Fond";"";"Oui";"mesures fixes";"Auto NO Conf meth CHIMILU";"moyenne horaire brute";"1.2";"1.2";"µg-m3";;;;"A";"1"
"2026/03/30 07:00:00";"2026/03/30 08:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NO";"Fond";"";"Oui";"mesures fixes";"Auto NO Conf meth CHIMILU";"moyenne horaire brute";"0.5";"0.525";"µg-m3";;;;"A";"1"
"2026/03/30 00:00:00";"2026/03/30 01:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NO2";"Fond";"1";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"4";"4.025";"µg-m3";;;;"A";"1"
"2026/03/30 01:00:00";"2026/03/30 02:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NO2";"Fond";"1";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"3.6";"3.575";"µg-m3";;;;"A";"1"
"2026/03/30 02:00:00";"2026/03/30 03:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NO2";"Fond";"1";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"3.2";"3.2";"µg-m3";;;;"A";"1"
"2026/03/30 03:00:00";"2026/03/30 04:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NO2";"Fond";"1";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"4.3";"4.275";"µg-m3";;;;"A";"1"
"2026/03/30 04:00:00";"2026/03/30 05:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NO2";"Fond";"1";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"4.8";"4.775";"µg-m3";;;;"A";"1"
"2026/03/30 05:00:00";"2026/03/30 06:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NO2";"Fond";"1";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"6.3";"6.3";"µg-m3";;;;"A";"1"
"2026/03/30 06:00:00";"2026/03/30 07:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NO2";"Fond";"1";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"9.4";"9.375";"µg-m3";;;;"A";"1"
"2026/03/30 07:00:00";"2026/03/30 08:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NO2";"Fond";"1";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"7.9";"7.9";"µg-m3";;;;"A";"1"
"2026/03/30 00:00:00";"2026/03/30 01:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NOX as NO2";"Fond";"1";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"4.1";"4.125";"µg-m3";;;;"R";"1"
"2026/03/30 01:00:00";"2026/03/30 02:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NOX as NO2";"Fond";"1";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"3.6";"3.6";"µg-m3";;;;"R";"1"
"2026/03/30 02:00:00";"2026/03/30 03:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NOX as NO2";"Fond";"1";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"3.2";"3.2";"µg-m3";;;;"R";"1"
"2026/03/30 03:00:00";"2026/03/30 04:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NOX as NO2";"Fond";"1";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"4.4";"4.375";"µg-m3";;;;"R";"1"
"2026/03/30 04:00:00";"2026/03/30 05:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NOX as NO2";"Fond";"1";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"4.8";"4.825";"µg-m3";;;;"R";"1"
"2026/03/30 05:00:00";"2026/03/30 06:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NOX as NO2";"Fond";"1";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"6.5";"6.475";"µg-m3";;;;"R";"1"
"2026/03/30 06:00:00";"2026/03/30 07:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NOX as NO2";"Fond";"1";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"11.2";"11.2";"µg-m3";;;;"R";"1"
"2026/03/30 07:00:00";"2026/03/30 08:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"NOX as NO2";"Fond";"1";"Oui";"mesures fixes";"Auto NO2_NOx Conf meth CHIMILU";"moyenne horaire brute";"8.7";"8.7";"µg-m3";;;;"R";"1"
"2026/03/30 00:00:00";"2026/03/30 01:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"PM10";"Fond";"I";"Oui";"mesures fixes";"Auto PM_Conf_app BAM 1020-Smart Heater";"moyenne horaire brute";"8.1";"8.075";"µg-m3";;;;"A";"1"
"2026/03/30 01:00:00";"2026/03/30 02:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"PM10";"Fond";"I";"Oui";"mesures fixes";"Auto PM_Conf_app BAM 1020-Smart Heater";"moyenne horaire brute";"8.5";"8.475";"µg-m3";;;;"A";"1"
"2026/03/30 02:00:00";"2026/03/30 03:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"PM10";"Fond";"I";"Oui";"mesures fixes";"Auto PM_Conf_app BAM 1020-Smart Heater";"moyenne horaire brute";"7";"7.025";"µg-m3";;;;"A";"1"
"2026/03/30 03:00:00";"2026/03/30 04:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"PM10";"Fond";"I";"Oui";"mesures fixes";"Auto PM_Conf_app BAM 1020-Smart Heater";"moyenne horaire brute";"3.5";"3.5";"µg-m3";;;;"A";"1"
"2026/03/30 04:00:00";"2026/03/30 05:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"PM10";"Fond";"I";"Oui";"mesures fixes";"Auto PM_Conf_app BAM 1020-Smart Heater";"moyenne horaire brute";"4.2";"4.2";"µg-m3";;;;"A";"1"
"2026/03/30 05:00:00";"2026/03/30 06:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"PM10";"Fond";"I";"Oui";"mesures fixes";"Auto PM_Conf_app BAM 1020-Smart Heater";"moyenne horaire brute";"5.3";"5.3";"µg-m3";;;;"A";"1"
"2026/03/30 06:00:00";"2026/03/30 07:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"PM10";"Fond";"I";"Oui";"mesures fixes";"Auto PM_Conf_app BAM 1020-Smart Heater";"moyenne horaire brute";"4.7";"4.7";"µg-m3";;;;"A";"1"
"2026/03/30 07:00:00";"2026/03/30 08:00:00";"ATMO GRAND EST";"FR44ZAG02";"ZAG METZ";"FR01012";"Metz-Borny";"Urbaine";"PM10";"Fond";"I";"Oui";"mesures fixes";"Auto PM_Conf_app BAM 1020-Smart Heater";"moyenne horaire brute";"";"";"µg-m3";;;;"N";"-1"
