code_site,nom_station_officiel,latitude_pollution,longitude_pollution,station_meteo,distance_km
FR24017,ST AUBAN,44.08325,6.002581,ST AUBAN,2.56
FR10017,St Pol mer - cheminots,51.03276,2.332358,DUNKERQUE,2.61
FR23152,DELACROIX,46.66065,-1.43686,LA ROCHE SUR YON,6.48
FR82005,Montfaucon,47.23461,6.076472,BESANCON,6.81
FR30020,Bar Le Duc,48.77586,5.162789,ST-DIZIER,24.9
FR41017,BASTIA MONTESORO,42.671333,9.434639,BASTIA,15.11
FR28115,Lens Varsovie,50.428604,2.836111,LILLE-LESQUIN,24.27
FR18035,Salouel,49.86889,2.239806,MEAULTE,35.14
FR06134,Saint Amand,50.45647,3.42794,LILLE-LESQUIN,26.56
FR18045,Roye,49.696697,2.801139,MEAULTE,31.38
FR10012,Mardyck,51.01943,2.25099,DUNKERQUE,7.39
FR09303,Niort Venise,46.320026,-0.482861,NIORT,6.37
FR26005,Dijon Péjoces,47.30737,5.065881,DIJON-LONGVIC,4.71
FR12053,Castres stadeTravet,43.610497,2.23015,ALBI,35.04
FR12042,Lourdes Lapaca,43.09625,-0.040497,TARBES-LOURDES-PYRENEES,10.72
FR12041,Montgiscard SICOVAL,43.457306,1.571469,TOULOUSE-BLAGNAC,23.93
FR14028,Rempart Perrier,49.0461,3.955911,REIMS-PRUNAY,23.28
FR03087,Avignon Semard,43.93706,4.824909,AVIGNON,6.84
FR50225,Montpellier Liberté,43.611607,3.827868,MONTPELLIER-AEROPORT,11.7
FR20045,GENAS,45.7317,4.9803,LYON-BRON,2.68
FR23163,Fillé,47.921925,0.151895,LE MANS,4.12
FR23235,HAUTES BRIVES,48.31929,-0.60185,LAVAL-ETRONNIER,33.84
FR34057,Issoudun Trafic ZR,46.94294,2.003258,CHATEAUROUX  DEOLS,21.52
FR38008,Ecole JOINVILLE,-20.884575,55.453907,GILLOT-AEROPORT,7.81
FR11114,Wattignies,50.59774,3.04946,LILLE-LESQUIN,4.58
FR09403,Poitiers-Le Nain,46.591232,0.34039,POITIERS-BIARD,2.01
FR08023,Biterrois-Narbonnais,43.4068,3.18878,BEZIERS-VIAS,16.26
FR20013,A7 SUD LYONNAIS,45.720024,4.818156,LYON-BRON,10.17
FR82050,Lons-le-Saunier CV,46.67132,5.55662,TAVAUX SA,42.57
FR14202,Châlons Prieur,48.9559,4.365281,VATRY-AERO,24.7
FR01064,Metz- Pont Grilles,49.12508,6.181219,AEROPORT METZ-NANCY-LORRAINE,16.82
FR19039,Rennes Thabor,48.11521,-1.673088,RENNES-ST JACQUES,6.86
FR05085,Lillebonne,49.512146,0.539036,ST GATIEN DES B,31.51
FR30021,Fléville,48.621502,6.194922,NANCY-ESSEY,7.63
FR26017,Nevers,46.996826,3.171092,NEVERS-MARZY,4.3
FR31005,BORDEAUX-GAMBETTA,44.84139,-0.579722,BORDEAUX-MERIGNAC,8.88
FR24013,ADRECHAS,44.073345,7.225241,NICE,47.22
FR21500,Caen délivrande,49.18888,-0.35946,CAEN-CARPIQUET,7.1
FR08713,Perpignan Rigaud,42.6835,2.90351,PERPIGNAN,6.47
FR19082,StMalo Rocabey,48.65306,-2.00268,DINARD,9.32
FR10025,Sangatte,50.94989,1.76917,BOULOGNE-SEM,26.94
FR18019,Nogent sur Oise,49.276386,2.482167,ROISSY,29.29
FR23003,LA MEGRETAIS,47.322704,-2.039243,ST NAZAIRE-MONTOIR,8.74
FR08209,Saze Gard Rhodanien2,43.9426,4.67958,AVIGNON,18.19
FR07048,Villeneuve sur Allier,46.659046,3.249247,NEVERS-MARZY,39.13
FR06009,Cambrai Gambetta,50.17249,3.23606,ST QUENTIN,39.44
FR24006,ANTIBES GUYNEMER,43.580894,7.12222,NICE,10.29
FR04063,MANTES-LA-JOLIE,48.9964,1.7033,PONTOISE - AERO,25.85
FR23092,JARDIN PREFECTURE,48.001293,0.20095,LE MANS,6.19
FR42008,La Bresse Centre,48.007454,6.87752,COLMAR-MEYENHEIM,40.43
FR07052,Aurillac-Lagarde,44.92008,2.441082,AURILLAC,3.62
FR31036,DAX,43.704643,-1.038557,DAX,3.02
FR28028,Bethune Stade,50.535385,2.635692,LILLE-LESQUIN,32.85
FR22019,SCHOENECK (19),49.220364,6.925833,AEROPORT METZ-NANCY-LORRAINE,56.47
FR24038,GAP JEAN JAURES,44.54865,6.067237,EMBRUN,35.06
FR14042,St DIZIER L. Michel,48.645836,4.966111,ST-DIZIER,4.86
FR03027,PLAN AUPS/STE  BAUME,43.3352,5.727365,HYERES,42.86
FR15031,Le Casset2,44.997,6.4694,VILLAR ST PANCRACE,18.69
FR07023,Besse et St Anastais,45.51039,2.930361,CLERMONT-FD,35.14
FR21031,Alençon Météo-France,48.445553,0.110833,ALENCON,0.05
FR12056,MILLAU,44.10618,3.072178,MILLAU,4.42
FR21039,Cherbourg PMF,49.63389,-1.6247222,GONNEVILLE,11.79
FR04004,PARIS 18eme,48.891666,2.346667,PARIS-MONTSOURIS,7.81
FR14059,Métal Blanc,49.88921,4.535761,CHARLEVILLE-MEZ,14.12
FR33201,LOVERCHY,45.89528,6.118333,MEYTHET,4.11
FR19051,Quimper Ferry,47.998158,-4.104136,QUIMPER,5.05
FR02034,Martigues Ventrons,43.37571,5.064025,MARIGNANE,13.73
FR39011,Reneville,14.614111,-61.05308,LAMENTIN-AERO,6.52
FR36001,Valence Périurb. Sud,44.870243,4.876289,MONTELIMAR,34.08
FR24021,PEILLON,43.786583,7.373283,NICE,20.22
FR07016,Montlucon Hippodrome,46.324,2.601,GUERET-ST LAURENT,52.69
FR02043,Marignane,43.41653,5.222281,MARIGNANE,2.4
FR07029,Sembadel,45.274727,3.687917,LE PUY-LOUDES,23.05
FR28027,Evin Stade,50.43464,3.02964,LILLE-LESQUIN,15.8
FR11027,Tourcoing Centre,50.7242,3.15906,LILLE-LESQUIN,17.69
FR41002,BASTIA GIRAUD,42.697918,9.446417,BASTIA,17.77
FR09107,PGOG_4_00,45.68695,-0.323869,COGNAC,2.52
FR03045,MARSEILLE MARGUERITE,43.26022,5.411003,MARIGNANE,25.26
FR31021,LABASTIDE CEZERACQ,43.376278,-0.538206,PAU-UZEIN,9.9
FR36002,Valence Urb. Centre,44.933514,4.893481,MONTELIMAR,41.18
FR14012,Jean d Aulan,49.224167,4.020556,REIMS-PRUNAY,9.92
FR04146,IVRY-SUR-SEINE,48.8175,2.395,PARIS-MONTSOURIS,4.21
FR18039,Arrest,50.129448,1.610833,ABBEVILLE,15.92
FR24015,GRASSE CLAVECIN,43.65777,6.920878,CANNES,11.51
FR01015,Blénod-lès-PAM,48.884724,6.051392,AEROPORT METZ-NANCY-LORRAINE,17.52
FR15001,Charavines,45.4276,5.5178,GRENOBLE-ST GEOIRS,17.46
FR01009,Gandrange,49.271393,6.1325,AEROPORT METZ-NANCY-LORRAINE,33.46
FR08618,Alès Cévennes,44.1424,4.13832,NIMES-COURBESSAC,38.31
FR41020,BASTIA SAINT NICOLAS,42.700085,9.451722,BASTIA,17.94
FR04160,PARIS 6eme,48.84889,2.335833,PARIS-MONTSOURIS,3.03
FR03091,Avignon Rocade De Gaulle,43.9314,4.826875,AVIGNON,6.45
FR09404,Poitiers Centre  Augouard,46.584,0.345582,POITIERS-BIARD,2.63
FR04066,Zone rurale Sud,48.364166,2.236944,ORLY,41.07
FR15038,St Martin d'Heres,45.1828,5.7531,GRENOBLE-ST GEOIRS,39.88
FR33212,GAILLARD,46.19364,6.214534,MEYTHET,30.95
FR31017,ANGLET,43.49404,-1.528753,BIARRITZ-PAYS-BASQUE,2.78
FR29426,SAINT-CHAMOND,45.475327,4.515003,ST ETIENNE-BOUTHEON,18.93
FR14857,Bourg-Fidele_Mairie,49.89096,4.53977,CHARLEVILLE-MEZ,14.13
FR26002,Station TARNIER,47.304665,5.02008,DIJON-LONGVIC,6.58
FR16516,Thann 4,47.814,7.10456,COLMAR-MEYENHEIM,25.96
FR31030,LEOGNAN,44.7225,-0.576111,BORDEAUX-MERIGNAC,15.08
FR29440,COL_OEILLON,45.38958,4.615817,ST ETIENNE-BOUTHEON,30.52
FR29424,SAINT ETIENNE SUD,45.42009,4.395422,ST ETIENNE-BOUTHEON,16.05
FR14851,HAP Givet,50.13585,4.836361,CHARLEVILLE-MEZ,41.62
FR23123,MAZAGRAN,48.069298,-0.768129,LAVAL-ETRONNIER,4.59
FR16057,Mulhouse Nord,47.757435,7.347294,COLMAR-MEYENHEIM,19.57
FR40012,Soula,4.927337,-52.41119,CAYENNE-MATOURY,12.73
FR02029,Chateauneuf La Mede,43.399548,5.113214,MARIGNANE,8.96
FR05054,Le Havre Les Neiges,49.481087,0.165289,OCTEVILLE,7.85
FR09205,La Rochelle GARE,46.15372,-1.145611,LA ROCHELLE-ILE DE RE,4.55
FR14033,STE SAVINE,48.295002,4.050278,TROYES-BARBEREY,3.99
FR07059,Vichy,46.130432,3.425694,VICHY-CHARMEIL,4.54
FR38011,Station Luther King,-21.334406,55.45906,GILLOT-AEROPORT,49.7
FR20077,Villefranche Centre,45.990112,4.715566,MACON,34.39
FR12026,Albi Delmas,43.92777,2.145897,ALBI,2.78
FR16065,Mulhouse Est,47.723106,7.341603,BALE-MULHOUSE,17.47
FR36032,A7 Valence Est,44.9492,4.890133,MONTELIMAR,42.76
FR30019,Epinal,48.172653,6.4528165,LUXEUIL,43.39
FR23238,LEVOYER,47.194157,-1.581689,NANTES-BOUGUENAIS,5.32
FR19061,Saint Brieuc Balzac,48.51351,-2.74953,ST BRIEUC,8.05
FR02041,SALON,43.639004,5.101097,SALON DE PROVENCE,2.96
FR20031,ST FONS CENTRE,45.7078,4.8644,LYON-BRON,6.75
FR41001,AJACCIO CANETTO,41.924694,8.735694,AJACCIO,4.77
FR30029,Vittel,48.19361,5.937222,NANCY-OCHEY,43.11
FR26010,Daix,47.3456,5.002377,DIJON-LONGVIC,10.81
FR33203,ANNECY Rocade,45.9097,6.11825,MEYTHET,2.78
FR16059,Chalampé,47.820248,7.538683,COLMAR-MEYENHEIM,15.52
FR14203,Pourcy,49.1586,3.912613,REIMS-PRUNAY,18.54
FR16215,Strasbourg A35 Remparts,48.588055,7.729722,STRASBOURG-ENTZHEIM,7.85
FR09399,Niort Trafic 6,46.321976,-0.4664312,NIORT,5.13
FR28020,Noeux S. Sports,50.483925,2.6613,LILLE-LESQUIN,32.29
FR11038,Tourcoing Houpline,50.733334,3.173611,LILLE-LESQUIN,18.94
FR37041,Anse-Bertrand Campêche,16.4545,-61.4281,LE RAIZET AERO,23.18
FR02008,Port de Bouc Leque,43.40195,4.981919,ISTRES,14.12
FR39016,Robert Bourg,14.678025,-60.939056,LAMENTIN-AERO,11.03
FR18058,Gaudechart,49.61563,1.963259,BEAUVAIS-TILLE,22.22
FR27005,Sablons,45.321846,4.770702,GRENOBLE-ST GEOIRS,42.67
FR02005,Martigues l'Ile,43.405296,5.051636,MARIGNANE,13.38
FR34014,St Jean,47.917397,1.966258,ORLEANS,16.2
FR32007,Le Creusot Molette,46.802376,4.417486,ST YAN,53.46
FR33302,St Germain/Rhône,46.072224,5.820833,MEYTHET,26.49
FR38016,Station Bourg-Murat,-21.204815,55.58262,GILLOT-AEROPORT,35.21
FR82220,Sochaux Mairie,47.5131,6.8318,DORANS,8.74
FR34017,Marigny-les-usages,47.958973,2.009278,ORLEANS,17.56
FR08003,Montpellier Chaptal,43.6113,3.86626,MONTPELLIER-AEROPORT,8.84
FR09207,MARANS_D137,46.309624,-0.991908,LA ROCHELLE-ILE DE RE,21.3
FR43002,Convalescence,-12.778186,45.220234,PAMANDZI,7.44
FR19032,Lorient B. Bissonnet,47.7425,-3.39501,LORIENT-LANN BIHOUE,3.79
FR22016,Saint-Avold Centre,49.104137,6.70375,AEROPORT METZ-NANCY-LORRAINE,36.33
