datetime,code_site,nom_site,NO2,O3,PM10,PM25,temperature,humidity,wind_speed,pressure,impact_index,impact_level
2026-03-26 00:00:00,FR07031,Rageade,7.5,86.9,8.2,2.9,282.15,74.31,5.92,99849.27,16.11,faible
2026-03-26 00:00:00,FR07051,Beaulieu,1.7,71.4,8.7,4.2,282.15,74.31,5.92,99849.27,12.72,faible
2026-03-26 00:00:00,FR07052,Aurillac-Lagarde,2.6,86.3,7.2,3.5,282.15,74.31,5.92,99849.27,14.49,faible
2026-03-26 00:00:00,FR07053,Edouard Michelin,2.2,71.4,9.7,5.2,282.15,74.31,5.92,99849.27,13.09,faible
2026-03-26 00:00:00,FR07054,Le Puy-Causans,2.0,79.5,2.7,5.2,282.15,74.31,5.92,99849.27,12.84,faible
2026-03-26 00:00:00,FR07056,Pays du Mezenc,7.5,81.1,9.7,5.2,282.15,74.31,5.92,99849.27,15.81,faible
2026-03-26 00:00:00,FR07057,Moulins Centre,1.8,75.6,4.5,2.5,282.15,74.31,5.92,99849.27,12.44,faible
2026-03-26 00:00:00,FR07058,Montluçon,2.1,75.8,8.7,4.6,282.15,74.31,5.92,99849.27,13.39,faible
2026-03-26 00:00:00,FR07059,Vichy,2.0,76.1,4.9,2.8,282.15,74.31,5.92,99849.27,12.65,faible
2026-03-26 00:00:00,FR07060,Royat Périurbaine,1.8,87.3,9.7,5.2,282.15,74.31,5.92,99849.27,14.91,faible
2026-03-26 00:00:00,FR07061,Riom Périurbaine,1.9,80.3,7.9,5.2,282.15,74.31,5.92,99849.27,13.78,faible
2026-03-26 00:00:00,FR08003,Montpellier Chaptal,0.6,71.4,9.7,5.2,282.15,74.31,5.92,99849.27,12.63,faible
2026-03-26 00:00:00,FR08016,Montpellier Prés d'Arènes,2.2,85.0,4.9,2.6,282.15,74.31,5.92,99849.27,13.77,faible
2026-03-26 00:00:00,FR08017,Montpellier Périurbaine Sud (Lattes),7.5,84.9,9.7,5.2,282.15,74.31,5.92,99849.27,16.27,faible
2026-03-26 00:00:00,FR08018,Montpellier St Gely,7.5,79.1,9.7,5.2,282.15,74.31,5.92,99849.27,15.56,faible
2026-03-26 00:00:00,FR08020,Lunel Viel,1.4,71.4,4.8,2.1,282.15,74.31,5.92,99849.27,11.84,faible
2026-03-26 00:00:00,FR08022,Agathois-piscénois,2.8,81.3,9.7,5.2,282.15,74.31,5.92,99849.27,14.47,faible
2026-03-26 00:00:00,FR08023,Biterrois-Narbonnais,7.5,74.7,9.7,5.2,282.15,74.31,5.92,99849.27,15.03,faible
2026-03-26 00:00:00,FR08209,Saze Gard Rhodanien2,7.5,88.1,9.7,5.2,282.15,74.31,5.92,99849.27,16.66,faible
2026-03-26 00:00:00,FR08614,Nimes Gauzy,3.9,83.7,5.4,2.5,282.15,74.31,5.92,99849.27,14.19,faible
2026-03-26 00:00:00,FR08617,Nimes La Calmette,7.5,80.6,9.7,5.2,282.15,74.31,5.92,99849.27,15.75,faible
2026-03-26 00:00:00,FR08712,Perpignan St Esteve,7.5,90.0,9.7,5.2,282.15,74.31,5.92,99849.27,16.89,faible
2026-03-26 00:00:00,FR08714,Perpignan Les Carmes,2.3,84.6,10.5,5.2,282.15,74.31,5.92,99849.27,14.86,faible
2026-03-26 00:00:00,FR09003,place de VERDUN,2.4,82.3,25.5,0.3,282.15,74.31,5.92,99849.27,16.81,faible
2026-03-26 00:00:00,FR09008,Aytré,5.9,80.0,11.3,5.2,282.15,74.31,5.92,99849.27,15.48,faible
2026-03-26 00:00:00,FR09015,Les Couronneries,4.1,71.5,12.3,5.2,282.15,74.31,5.92,99849.27,14.09,faible
2026-03-26 00:00:00,FR09103,Square Pablo Casals,3.9,71.4,7.1,4.2,282.15,74.31,5.92,99849.27,13.09,faible
2026-03-26 00:00:00,FR09106,ANGOULEME-GAMBETTA,2.8,71.4,9.2,5.2,282.15,74.31,5.92,99849.27,13.18,faible
2026-03-26 00:00:00,FR09203,La Pallice3 LR,7.5,71.4,13.3,8.9,282.15,74.31,5.92,99849.27,15.47,faible
2026-03-26 00:00:00,FR09302,Zoodyssée Chizé,1.8,56.9,8.9,4.8,282.15,74.31,5.92,99849.27,11.06,faible
2026-03-26 00:00:00,FR09303,Niort Venise,2.2,60.9,9.2,4.9,282.15,74.31,5.92,99849.27,11.71,faible
2026-03-26 00:00:00,FR09304,AIRVAULT - Stade Laillé,2.5,65.1,15.4,5.2,282.15,74.31,5.92,99849.27,13.37,faible
2026-03-26 00:00:00,FR09305,Niort - Tassigny,4.0,71.4,14.7,5.2,282.15,74.31,5.92,99849.27,14.45,faible
2026-03-26 00:00:00,FR09403,Poitiers-Le Nain,6.0,71.4,13.9,5.2,282.15,74.31,5.92,99849.27,14.9,faible
2026-03-26 00:00:00,FR09404,Poitiers Centre  Augouard,4.1,70.1,11.7,5.7,282.15,74.31,5.92,99849.27,13.85,faible
2026-03-26 00:00:00,FR10004,Malo-les-Bains,7.5,71.4,12.0,5.7,282.15,74.31,5.92,99849.27,15.05,faible
2026-03-26 00:00:00,FR10017,St Pol mer - cheminots,11.9,65.9,24.6,10.3,282.15,74.31,5.92,99849.27,18.06,faible
2026-03-26 00:00:00,FR10025,Sangatte,7.5,72.9,25.0,5.2,282.15,74.31,5.92,99849.27,17.38,faible
2026-03-26 00:00:00,FR10029,Cappelle la Grande,7.5,71.4,29.5,5.2,282.15,74.31,5.92,99849.27,17.95,faible
2026-03-26 00:00:00,FR10030,Boulogne Diderot,5.0,71.4,13.7,6.2,282.15,74.31,5.92,99849.27,14.64,faible
2026-03-26 00:00:00,FR10032,Outreau,7.5,72.7,15.9,5.2,282.15,74.31,5.92,99849.27,15.83,faible
2026-03-26 00:00:00,FR10034,Grande-synthe,7.5,71.4,13.0,5.2,282.15,74.31,5.92,99849.27,15.18,faible
2026-03-26 00:00:00,FR10132,Campagne les B.,6.2,70.1,12.1,5.2,282.15,74.31,5.92,99849.27,14.5,faible
2026-03-26 00:00:00,FR11026,Halluin stade,7.5,55.0,9.7,5.2,282.15,74.31,5.92,99849.27,12.64,faible
2026-03-26 00:00:00,FR11034,Roubaix Serres,12.2,71.4,50.9,46.1,282.15,74.31,5.92,99849.27,25.5,modere
2026-03-26 00:00:00,FR11038,Tourcoing Houpline,11.3,67.6,6.1,3.3,282.15,74.31,5.92,99849.27,14.54,faible
2026-03-26 00:00:00,FR11114,Wattignies,5.7,60.4,5.3,3.2,282.15,74.31,5.92,99849.27,11.91,faible
2026-03-26 00:00:00,FR12004,Toulouse école m. Jacquier,0.8,78.1,10.6,6.1,282.15,74.31,5.92,99849.27,13.71,faible
2026-03-26 00:00:00,FR12020,Peyrusse Vieille,0.8,73.1,13.2,6.8,282.15,74.31,5.92,99849.27,13.58,faible
2026-03-26 00:00:00,FR12021,Toulouse Mazades,7.5,71.4,11.6,5.6,282.15,74.31,5.92,99849.27,14.97,faible
2026-03-26 00:00:00,FR12026,Albi Delmas,2.6,71.4,9.7,5.8,282.15,74.31,5.92,99849.27,13.25,faible
2026-03-26 00:00:00,FR12029,Gaudonville,7.5,74.5,9.7,5.2,282.15,74.31,5.92,99849.27,15.01,faible
2026-03-26 00:00:00,FR12030,Toulouse Berthelot,1.2,76.9,11.0,5.9,282.15,74.31,5.92,99849.27,13.73,faible
2026-03-26 00:00:00,FR12031,Belesta en Lauragais,7.5,75.9,9.7,5.2,282.15,74.31,5.92,99849.27,15.18,faible
2026-03-26 00:00:00,FR12039,Toulouse-SETMI Eisenhower,7.5,71.4,13.6,5.2,282.15,74.31,5.92,99849.27,15.28,faible
2026-03-26 00:00:00,FR12040,Toulouse SETMI Chapitre,7.5,71.4,14.8,5.2,282.15,74.31,5.92,99849.27,15.48,faible
2026-03-26 00:00:00,FR12041,Montgiscard SICOVAL,7.5,78.0,9.7,5.2,282.15,74.31,5.92,99849.27,15.43,faible
2026-03-26 00:00:00,FR12042,Lourdes Lapaca,2.0,82.8,6.4,4.2,282.15,74.31,5.92,99849.27,13.8,faible
2026-03-26 00:00:00,FR12044,Toulouse - Aéroport Blagnac côté trafic,1.0,71.4,7.3,5.2,282.15,74.31,5.92,99849.27,12.34,faible
2026-03-26 00:00:00,FR12047,Bessières-ECONOTRE,7.5,71.4,8.0,5.2,282.15,74.31,5.92,99849.27,14.34,faible
2026-03-26 00:00:00,FR12052,Tarbes lycée Dupuy,1.5,82.6,6.6,4.2,282.15,74.31,5.92,99849.27,13.67,faible
2026-03-26 00:00:00,FR12053,Castres stadeTravet,1.4,76.6,10.6,6.0,282.15,74.31,5.92,99849.27,13.69,faible
2026-03-26 00:00:00,FR12054,Toulouse Rte Albi,1.6,71.4,10.6,5.7,282.15,74.31,5.92,99849.27,13.1,faible
2026-03-26 00:00:00,FR12085,Toulouse Port de l'Embouchure,6.5,71.4,11.6,4.7,282.15,74.31,5.92,99849.27,14.63,faible
2026-03-26 00:00:00,FR12095,Rodez Camonil,2.1,82.9,3.6,2.2,282.15,74.31,5.92,99849.27,13.25,faible
2026-03-26 00:00:00,FR14008,REVIN,2.0,75.0,1.8,1.4,282.15,74.31,5.92,99849.27,11.9,faible
2026-03-26 00:00:00,FR14010,BETHENY,5.7,64.4,13.5,5.2,282.15,74.31,5.92,99849.27,13.89,faible
2026-03-26 00:00:00,FR14011,DOUMER,8.4,71.4,9.7,1.2,282.15,74.31,5.92,99849.27,14.64,faible
2026-03-26 00:00:00,FR14012,Jean d Aulan,3.0,65.8,7.6,0.1,282.15,74.31,5.92,99849.27,11.97,faible
