datetime,code_site,nom_site,NO2,O3,PM10,PM25
2026-03-26 00:00:00,FR30033,Jonville en Woevre,2.3,43.9,8.1,
2026-03-26 00:00:00,FR30034,Nancy-Charles III,5.8,65.6,4.5,3.3
2026-03-26 00:00:00,FR30036,Nancy-Libération,3.3,,,4.5
2026-03-26 00:00:00,FR30037,Nancy-Brabois 2,1.9,68.9,,
2026-03-26 00:00:00,FR31001,GRAND PARC,2.9,76.0,16.1,
2026-03-26 00:00:00,FR31002,TALENCE,4.1,74.4,12.4,6.3
2026-03-26 00:00:00,FR31007,BASSENS,2.3,74.0,11.0,5.6
2026-03-26 00:00:00,FR31008,LE TEMPLE,0.8,69.5,,
2026-03-26 00:00:00,FR31010,AMBES,2.4,75.1,,
2026-03-26 00:00:00,FR31013,BILLERE,1.5,69.5,6.8,4.3
2026-03-26 00:00:00,FR31016,SAINT-CROUTS,0.5,91.0,22.6,
2026-03-26 00:00:00,FR31017,ANGLET,1.3,,38.3,8.4
2026-03-26 00:00:00,FR31020,LACQ,4.2,,,
2026-03-26 00:00:00,FR31021,LABASTIDE CEZERACQ,2.0,60.3,5.1,
2026-03-26 00:00:00,FR31024,MOURENX,1.9,,,
2026-03-26 00:00:00,FR31026,TARTAS Pelletrin,,,14.0,
2026-03-26 00:00:00,FR31033,PERIGUEUX,3.4,67.6,9.8,5.3
2026-03-26 00:00:00,FR31039,PAU TOURASSE,3.2,,8.9,
2026-03-26 00:00:00,FR31040,MARMANDE,0.5,,9.0,5.0
2026-03-26 00:00:00,FR31043,Biarritz-hippodrome,1.5,93.8,24.1,5.3
2026-03-26 00:00:00,FR31045,Bordeaux_GAUTIER,9.1,,14.7,9.8
2026-03-26 00:00:00,FR31055,MONT-DE-MARSAN - MIDOUZE,2.6,63.6,9.7,6.6
2026-03-26 00:00:00,FR31057,Floirac Branne,7.9,,12.0,
2026-03-26 00:00:00,FR32001,Chalon Centre Ville,3.6,,,7.7
2026-03-26 00:00:00,FR32002,Champforgueil,4.4,69.8,12.4,3.7
2026-03-26 00:00:00,FR32005,Montceau-les-Mines 9me écluse,2.9,75.1,7.0,4.5
2026-03-26 00:00:00,FR32006,Macon Paul Bert,2.4,82.5,,5.8
2026-03-26 00:00:00,FR33101,PASTEUR,-2.2,,2.7,1.7
2026-03-26 00:00:00,FR33102,CHAMBERY LE HAUT,,73.7,,
2026-03-26 00:00:00,FR33105,Chambéry Trafic,3.4,,2.1,
