datetime,code_site,nom_site,latitude_pollution,longitude_pollution,station_meteo,distance_km,NO2,O3,PM10,PM25,temperature,humidity,wind_speed,pressure
2026-03-26 00:00:00,FR09106,ANGOULEME-GAMBETTA,45.651463,0.162391,COGNAC,37.2,2.8,,9.2,,279.65,61.0,4.7,102010.0
2026-03-26 00:00:00,FR09203,La Pallice3 LR,46.161633,-1.211229,LA ROCHELLE-ILE DE RE,2.29,,,13.3,8.9,280.95,63.0,8.0,102200.0
2026-03-26 00:00:00,FR09302,Zoodyssée Chizé,46.143234,-0.395913,NIORT,19.19,1.8,56.9,8.9,4.8,277.05,74.0,3.0,101590.0
2026-03-26 00:00:00,FR09303,Niort Venise,46.320026,-0.482861,NIORT,6.37,2.2,60.9,9.2,4.9,277.05,74.0,3.0,101590.0
2026-03-26 00:00:00,FR09304,AIRVAULT - Stade Laillé,46.823795,-0.135634,POITIERS-BIARD,42.79,2.5,65.1,15.4,,277.15,73.0,4.1,100750.0
2026-03-26 00:00:00,FR09305,Niort - Tassigny,46.33388,-0.471878,NIORT,5.86,4.0,,14.7,,277.05,74.0,3.0,101590.0
2026-03-26 00:00:00,FR09403,Poitiers-Le Nain,46.591232,0.34039,POITIERS-BIARD,2.01,6.0,,13.9,,277.15,73.0,4.1,100750.0
2026-03-26 00:00:00,FR09404,Poitiers Centre  Augouard,46.584,0.345582,POITIERS-BIARD,2.63,4.1,70.1,11.7,5.7,277.15,73.0,4.1,100750.0
2026-03-26 00:00:00,FR10004,Malo-les-Bains,51.04858,2.42004,DUNKERQUE,5.69,,,12.0,5.7,280.05,71.0,9.8,101290.0
2026-03-26 00:00:00,FR10017,St Pol mer - cheminots,51.03276,2.332358,DUNKERQUE,2.61,11.9,65.9,24.6,10.3,280.05,71.0,9.8,101290.0
2026-03-26 00:00:00,FR10025,Sangatte,50.94989,1.76917,BOULOGNE-SEM,26.94,,72.9,25.0,,278.65,73.0,9.2,100770.0
2026-03-26 00:00:00,FR10029,Cappelle la Grande,50.99594,2.36627,DUNKERQUE,6.92,,,29.5,,280.05,71.0,9.8,101290.0
2026-03-26 00:00:00,FR10030,Boulogne Diderot,50.71703,1.605913,BOULOGNE-SEM,1.78,5.0,,13.7,6.2,278.65,73.0,9.2,100770.0
2026-03-26 00:00:00,FR10032,Outreau,50.69435,1.57657,BOULOGNE-SEM,4.54,,72.7,15.9,,278.65,73.0,9.2,100770.0
2026-03-26 00:00:00,FR10034,Grande-synthe,51.02446,2.30215,DUNKERQUE,4.36,,,13.0,,280.05,71.0,9.8,101290.0
2026-03-26 00:00:00,FR10132,Campagne les B.,50.61048,1.99145,LE-TOUQUET,28.14,6.2,70.1,12.1,,278.85,73.0,10.4,101380.0
2026-03-26 00:00:00,FR11026,Halluin stade,50.775482,3.12568,LILLE-LESQUIN,22.93,7.5,55.0,,,277.05,89.0,3.9,100900.0
2026-03-26 00:00:00,FR11034,Roubaix Serres,50.706535,3.18066,LILLE-LESQUIN,16.28,12.2,,50.9,46.1,277.05,89.0,3.9,100900.0
2026-03-26 00:00:00,FR11038,Tourcoing Houpline,50.733334,3.173611,LILLE-LESQUIN,18.94,11.3,67.6,6.1,3.3,277.05,89.0,3.9,100900.0
2026-03-26 00:00:00,FR11114,Wattignies,50.59774,3.04946,LILLE-LESQUIN,4.58,5.7,60.4,5.3,3.2,277.05,89.0,3.9,100900.0
2026-03-26 00:00:00,FR12004,Toulouse école m. Jacquier,43.575695,1.418064,TOULOUSE-BLAGNAC,5.95,0.8,78.1,10.6,6.1,279.35,80.0,7.9,100490.0
2026-03-26 00:00:00,FR12020,Peyrusse Vieille,43.6287,0.179069,AUCH,34.61,0.8,73.1,13.2,6.8,279.85,72.0,3.2,100860.0
2026-03-26 00:00:00,FR12021,Toulouse Mazades,43.623608,1.438531,TOULOUSE-BLAGNAC,4.81,,,11.6,5.6,279.35,80.0,7.9,100490.0
2026-03-26 00:00:00,FR12026,Albi Delmas,43.92777,2.145897,ALBI,2.78,2.6,,,5.8,279.65,74.0,6.2,100040.0
2026-03-26 00:00:00,FR12029,Gaudonville,43.883934,0.845617,AUCH,29.24,,74.5,,,279.85,72.0,3.2,100860.0
2026-03-26 00:00:00,FR12030,Toulouse Berthelot,43.587345,1.444003,TOULOUSE-BLAGNAC,6.45,1.2,76.9,11.0,5.9,279.35,80.0,7.9,100490.0
2026-03-26 00:00:00,FR12031,Belesta en Lauragais,43.44139,1.821944,TOULOUSE-BLAGNAC,40.93,,75.9,,,279.35,80.0,7.9,100490.0
2026-03-26 00:00:00,FR12039,Toulouse-SETMI Eisenhower,43.56158,1.393261,TOULOUSE-BLAGNAC,6.71,,,13.6,,279.35,80.0,7.9,100490.0
2026-03-26 00:00:00,FR12040,Toulouse SETMI Chapitre,43.556374,1.403964,TOULOUSE-BLAGNAC,7.47,,,14.8,,279.35,80.0,7.9,100490.0
2026-03-26 00:00:00,FR12041,Montgiscard SICOVAL,43.457306,1.571469,TOULOUSE-BLAGNAC,23.93,,78.0,,,279.35,80.0,7.9,100490.0
2026-03-26 00:00:00,FR12042,Lourdes Lapaca,43.09625,-0.040497,TARBES-LOURDES-PYRENEES,10.72,2.0,82.8,6.4,4.2,278.65,87.0,4.6,98150.0
2026-03-26 00:00:00,FR12044,Toulouse - Aéroport Blagnac côté trafic,43.633476,1.375717,TOULOUSE-BLAGNAC,1.41,1.0,,7.3,,279.35,80.0,7.9,100490.0
2026-03-26 00:00:00,FR12047,Bessières-ECONOTRE,43.80314,1.595475,TOULOUSE-BLAGNAC,26.71,,,8.0,,279.35,80.0,7.9,100490.0
2026-03-26 00:00:00,FR12052,Tarbes lycée Dupuy,43.230297,0.062339,TARBES-LOURDES-PYRENEES,6.9,1.5,82.6,6.6,4.2,278.65,87.0,4.6,98150.0
2026-03-26 00:00:00,FR12053,Castres stadeTravet,43.610497,2.23015,ALBI,35.04,1.4,76.6,10.6,6.0,279.65,74.0,6.2,100040.0
2026-03-26 00:00:00,FR12054,Toulouse Rte Albi,43.643944,1.468244,TOULOUSE-BLAGNAC,7.63,1.6,,10.6,5.7,279.35,80.0,7.9,100490.0
2026-03-26 00:00:00,FR12085,Toulouse Port de l'Embouchure,43.610386,1.4152,TOULOUSE-BLAGNAC,3.16,6.5,,11.6,4.7,279.35,80.0,7.9,100490.0
2026-03-26 00:00:00,FR12095,Rodez Camonil,44.35699,2.5707042,RODEZ-AVEYRON,9.18,2.1,82.9,3.6,2.2,273.75,92.0,7.5,95060.0
2026-03-26 00:00:00,FR14010,BETHENY,49.28222,4.051111,REIMS-PRUNAY,11.05,5.7,64.4,13.5,,275.75,87.0,3.3,100310.0
2026-03-26 00:00:00,FR14011,DOUMER,49.250732,4.023064,REIMS-PRUNAY,10.63,8.4,,9.7,1.2,275.75,87.0,3.3,100310.0
2026-03-26 00:00:00,FR14012,Jean d Aulan,49.224167,4.020556,REIMS-PRUNAY,9.92,3.0,65.8,7.6,0.1,275.75,87.0,3.3,100310.0
2026-03-26 00:00:00,FR14022,CHALONS,48.962223,4.36,VATRY-AERO,25.05,4.4,57.4,6.3,,273.85,96.0,5.2,99510.0
2026-03-26 00:00:00,FR14028,Rempart Perrier,49.0461,3.955911,REIMS-PRUNAY,23.28,4.5,,8.6,2.4,275.75,87.0,3.3,100310.0
2026-03-26 00:00:00,FR14031,Troyes La Tour ,48.301666,4.076944,TROYES-BARBEREY,4.93,7.7,,,,275.65,90.0,7.6,100150.0
2026-03-26 00:00:00,FR14032,ST PARRES AUX TERTRE,48.299168,4.117222,TROYES-BARBEREY,7.73,,66.1,,,275.65,90.0,7.6,100150.0
2026-03-26 00:00:00,FR14033,STE SAVINE,48.295002,4.050278,TROYES-BARBEREY,3.99,5.5,,4.6,4.4,275.65,90.0,7.6,100150.0
2026-03-26 00:00:00,FR14042,St DIZIER L. Michel,48.645836,4.966111,ST-DIZIER,4.86,6.6,60.1,,,274.75,94.0,2.3,99720.0
2026-03-26 00:00:00,FR15013,Champ sur Drac,45.07954,5.728653,GRENOBLE-ST GEOIRS,45.37,,76.0,,,275.95,83.0,4.6,96920.0
2026-03-26 00:00:00,FR15018,Voiron Urbain,45.360176,5.589419,GRENOBLE-ST GEOIRS,21.57,2.5,79.9,4.7,,275.95,83.0,4.6,96920.0
2026-03-26 00:00:00,FR15031,Le Casset2,44.997,6.4694,VILLAR ST PANCRACE,18.69,,91.7,,,270.35,66.0,2.5,85830.0
2026-03-26 00:00:00,FR15038,St Martin d'Heres,45.1828,5.7531,GRENOBLE-ST GEOIRS,39.88,,63.4,2.8,1.6,275.95,83.0,4.6,96920.0
2026-03-26 00:00:00,FR15043,Grenoble Les Frenes,45.1619,5.7356,GRENOBLE-ST GEOIRS,39.97,2.8,63.9,3.1,2.0,275.95,83.0,4.6,96920.0
2026-03-26 00:00:00,FR15045,Grenoble PeriurbSud,45.0578,5.6767,GRENOBLE-ST GEOIRS,44.38,2.4,53.8,0.1,,275.95,83.0,4.6,96920.0
